Ward,Households,Total_Pop,Tot_Male,Tot_Female,Tot_Literate,Male_Literate,Female_Literate,Tot_Illiterate,Male_Illiterate,Female_Illiterate,Tot_0-6,Male_0-6,Female_0-6,Ward_office,Ward_name
 Ward No.100,4390,20279,10189,10090,16661,8529,8132,3618,1660,1958,1755,930,825,Sahakarnagar,Parvati Darshan
 Ward No.101,3966,16389,8532,7857,12402,6837,5565,3987,1695,2292,1824,928,896,Tilakroad,Parvatigaon
 Ward No.102,3390,14725,7461,7264,10573,5683,4890,4152,1778,2374,1651,851,800,Tilakroad,Paravati Jal kendra
 Ward No.103,3736,16730,8523,8207,12698,6721,5977,4032,1802,2230,1783,960,823,Tilakroad,Dandekar Pul-Dattawadi
 Ward No.104,5940,23399,11873,11526,19087,9822,9265,4312,2051,2261,2062,1104,958,Tilakroad,Pu.La.Deshpande Udhyan
 Ward No.105,4680,17854,8556,9298,15658,7553,8105,2196,1003,1193,1129,574,555,Warje,Mejor Thathwade Udhyan
 Ward No.106,5529,19993,9856,10137,17255,8505,8750,2738,1351,1387,1533,791,742,Warje,Kothrud Gaon
 Ward No.107,4772,18668,9537,9131,14636,7714,6922,4032,1823,2209,1742,904,838,Warje,Happy Colony
 Ward No.108,3485,12827,6441,6386,9751,4954,4797,3076,1487,1589,1258,664,594,Warje,Dahanukar Colony 
 Ward No.109,8936,35401,18565,16836,29002,15559,13443,6399,3006,3393,3998,2129,1869,Warje,Warje Jal Shudhikaran Prakalpa
 Ward No.110,9933,38951,20877,18074,30096,16682,13414,8855,4195,4660,5252,2762,2490,Warje,Popularnagar Warje
 Ward No.111,6126,26155,14013,12142,18420,10545,7875,7735,3468,4267,3561,1893,1668,Warje,Warje  Malwadi
 Ward No.112,5913,24492,12862,11630,20596,11036,9560,3896,1826,2070,2343,1244,1099,Warje,Maharshi karve Nagar 
 Ward No.113,5061,21971,10627,11344,18744,9154,9590,3227,1473,1754,2007,1073,934,Warje,Higne Steri Shikshan Sanstha
 Ward No.114,4281,17964,9497,8467,13139,7313,5826,4825,2184,2641,2104,1130,974,Tilakroad,Janta Vasahat
 Ward No.115,3974,16330,8071,8259,13609,6880,6729,2721,1191,1530,1452,747,705,Sahakarnagar,Shau Collage
 Ward No.116,3400,15033,7519,7514,12301,6325,5976,2732,1194,1538,1445,736,709,Sahakarnagar,Parvati Industrial Estate
 Ward No.117,3624,16021,7961,8060,14179,7042,7137,1842,919,923,1202,651,551,Sahakarnagar,Maharshi Nagar
 Ward No.118,4078,18923,9624,9299,12719,6966,5753,6204,2658,3546,2316,1203,1113,Sahakarnagar,Chatrapati Shivaji Marketyard
 Ward No.119,4992,22201,11354,10847,18769,9683,9086,3432,1671,1761,2090,1091,999,Sahakarnagar,D.A.D Colony
 Ward No.120,5898,25014,12896,12118,19171,10262,8909,5843,2634,3209,3167,1667,1500,Bibvewadi,Kondhva Khurd
 Ward No.121,9022,34937,17372,17565,29103,14502,14601,5834,2870,2964,3605,1833,1772,Bibvewadi,N.I.B.M
 Ward No.122,10258,49363,25670,23693,36921,19661,17260,12442,6009,6433,7352,3799,3553,Bibvewadi,Mithanagar 
 Ward No.123,5875,24791,12677,12114,20302,10424,9878,4489,2253,2236,2497,1330,1167,Bibvewadi,Bibvewadi
 Ward No.124,4675,20316,10220,10096,16807,8694,8113,3509,1526,1983,1947,965,982,Sahakarnagar,Shankar Maharaj Math
 Ward No.125,4922,20700,10397,10303,17597,8998,8599,3103,1399,1704,1750,906,844,Sahakarnagar,Padmavati -Areneshwar
 Ward No.126,4236,18853,9442,9411,14339,7548,6791,4514,1894,2620,1925,1009,916,Sahakarnagar,Taljai Mandir
 Ward No.127,6661,25783,13124,12659,21382,11004,10378,4401,2120,2281,2663,1364,1299,Tilakroad,Anandnagar -Higne Khurd
 Ward No.128,9454,36080,18409,17671,30673,15599,15074,5407,2810,2597,3787,1976,1811,Tilakroad,Vitthalwadi
 Ward No.129,11329,44678,23651,21027,35632,19144,16488,9046,4507,4539,5559,2966,2593,Tilakroad,Vadgaon Dhayari
 Ward No.130,6418,25876,13601,12275,20548,10934,9614,5328,2667,2661,3286,1758,1528,Tilakroad,Vadgaon Budruk
 Ward No.131,5212,20666,10790,9876,16611,8937,7674,4055,1853,2202,2220,1139,1081,Tilakroad,Manikbaug
 Ward No.132,6145,26685,13836,12849,21069,11200,9869,5616,2636,2980,2981,1623,1358,Dhankawadi,Chavannagar
 Ward No.133,5711,23888,12745,11143,18524,10139,8385,5364,2606,2758,3128,1672,1456,Dhankawadi,Dhankawadi Ambegaon Pathar
 Ward No.134,5953,25148,13034,12114,20984,10997,9987,4164,2037,2127,2570,1387,1183,Dhankawadi,Dhankawadi Gaon
 Ward No.135,3765,15030,7757,7273,13113,6784,6329,1917,973,944,1335,729,606,Dhankawadi,Chaitanya Nagar Dhankawadi
 Ward No.136,4808,19916,10335,9581,17031,8894,8137,2885,1441,1444,1830,998,832,Dhankawadi,Balajinagar
 Ward No.137,7464,31390,16204,15186,24033,12906,11127,7357,3298,4059,3860,1999,1861,Bibvewadi,Sukhsagarnagar
 Ward No.138,4064,16457,8418,8039,14051,7322,6729,2406,1096,1310,1522,822,700,Bibvewadi,Vishwakarma Institute (Bibvewadi)
 Ward No.139,7860,35527,18605,16922,24065,13503,10562,11462,5102,6360,5297,2763,2534,Bibvewadi,Upper Indiranagar Bibvewadi
 Ward No.140,10236,45476,24182,21294,32833,18377,14456,12643,5805,6838,6911,3580,3331,Bibvewadi,Kondhva Budrukh
 Ward No.141,9712,41214,21539,19675,31936,17269,14667,9278,4270,5008,5514,2922,2592,Dhankawadi,Katraj Gaon
 Ward No.142,4113,17067,8821,8246,14240,7535,6705,2827,1286,1541,1806,963,843,Dhankawadi,Rajiv Gandhi Pranisangrhalya
 Ward No.143,10168,40938,21214,19724,34601,18189,16412,6337,3025,3312,4343,2306,2037,Dhankawadi,Bharti Vidhyapeeth
 Ward No.144,6307,26762,14135,12627,21025,11436,9589,5737,2699,3038,3742,2028,1714,Dhankawadi,Agam Mandir Katraj
